rows,repetitions,reducers,skew,map_records_1,reduce_records_1,t_repartition,map_records_2,t_broadcast,map_records_3,t_merge_1_1,t_merge_1_2,t_merge_2_1,t_merge_2_2,t_merge,t_sort_merge
3000000,10,100,0.5,3300000,3000000,28559177831,3000000,28512498491,3000000,12433575490,13525829297,23406687619,25522345308,19084606688,93973044402
6000000,10,100,0.5,6600000,6000000,30539432499,6000000,33479165537,6000000,13402457541,14730619348,25499531085,28742028477,20333051846,102707688297
9000000,10,100,0.5,9900000,9000000,35583082289,9000000,39540356235,9000000,13483815366,15602693873,26448388245,30536331867,20904470225,106975699576
12000000,10,100,0.5,13200000,12000000,33828197641,12000000,42653416644,12000000,12499061479,17545289718,26497181184,32477838654,18817721917,107837092952
15000000,10,100,0.5,16500000,15000000,34597827963,15000000,46731236933,15000000,13680928837,17488185645,25421634816,31707619688,21025728504,109324097490
18000000,10,100,0.5,19800000,18000000,36765358347,18000000,47496070463,18000000,13435253752,17487666236,25614068708,33526390577,20976771321,111040150594
21000000,10,100,0.5,23100000,21000000,35608822109,21000000,52643280921,21000000,13405758389,17508894930,26739853760,33469369473,23014814347,114138690899
24000000,10,100,0.5,26400000,24000000,35887271793,24000000,68686913675,24000000,14037522084,18602687899,27722074057,33647400705,24168354407,118178039152
27000000,10,100,0.5,29700000,27000000,36935572641,27000000,71896081359,27000000,13561132085,18489469294,26623218432,32451794436,23826963497,114952577744
30000000,10,100,0.5,33000000,30000000,39547348764,30000000,74758567816,30000000,13452702447,17490418024,26617092811,32534715312,22869497831,112964426425
33000000,10,100,0.5,36300000,33000000,36599850099,33000000,80668954028,33000000,13653034797,17477453297,26584125439,33459335496,24899726205,116073675234
36000000,10,100,0.5,39600000,36000000,36850932076,36000000,141771563196,36000000,13800440646,17729183393,27638712412,32423742639,25839034209,117431113299
39000000,10,100,0.5,42900000,39000000,37563178445,39000000,258942227918,39000000,15004913755,18854163618,28595108353,34631568532,26144393506,123230147764